Name,Is_Speaker,Total_Turns,Total_Words,Avg_Words_Per_Turn,Mentions_Out_Dict,Mentions_In_Dict
ROMEO,True,163,4727,29.0,"{""CUPID"": 1, ""MERCUTIO"": 10, ""CAPULET"": 3, ""ROSALINE"": 3, ""TYBALT"": 11, ""JULIET"": 20, ""NURSE"": 7, ""FRIAR LAURENCE"": 1, ""BENVOLIO"": 2, ""PRINCE"": 5, ""BALTHASAR"": 1, ""APOTHECARY"": 2, ""PARIS"": 3}","{""LADY MONTAGUE"": 1, ""BENVOLIO"": 16, ""MERCUTIO"": 9, ""CAPULET"": 2, ""TYBALT"": 2, ""NURSE"": 17, ""CHORUS"": 1, ""JULIET"": 43, ""FRIAR LAURENCE"": 19, ""LADY CAPULET"": 4, ""PRINCE"": 4, ""MONTAGUE"": 1, ""BALTHASAR"": 1, ""SECOND WATCHMAN"": 1, ""FIRST WATCHMAN"": 2}"
JULIET,True,118,4297,36.42,"{""NURSE"": 20, ""ROMEO"": 43, ""CAPULET"": 1, ""MONTAGUE"": 5, ""GOD"": 3, ""TYBALT"": 14, ""PETER"": 2, ""PARIS"": 2, ""LAURENCE"": 3}","{""NURSE"": 4, ""LADY CAPULET"": 4, ""ROMEO"": 20, ""CHORUS"": 1, ""FRIAR LAURENCE"": 7, ""CAPULET"": 4, ""PARIS"": 2, ""FIRST WATCHMAN"": 2, ""BALTHASAR"": 1, ""PRINCE"": 2, ""MONTAGUE"": 1}"
FRIAR LAURENCE,True,55,2734,49.71,"{""ROMEO"": 19, ""ROSALINE"": 4, ""PRINCE"": 3, ""TYBALT"": 5, ""JULIET"": 7, ""NURSE"": 3, ""PARIS"": 7, ""FRIAR JOHN"": 3, ""MANTUA"": 1, ""CAPEL"": 1}","{""ROMEO"": 1, ""NURSE"": 1, ""CAPULET"": 1, ""FIRST WATCHMAN"": 1}"
NURSE,True,90,2211,24.57,"{""GOD"": 5, ""JULIET"": 4, ""ROMEO"": 17, ""MONTAGUE"": 1, ""PETER"": 5, ""PARIS"": 4, ""JESU"": 1, ""FRIAR LAURENCE"": 1, ""TYBALT"": 6, ""LAURENCE"": 1}","{""LADY CAPULET"": 2, ""JULIET"": 20, ""SERVANT"": 1, ""ROMEO"": 7, ""FRIAR LAURENCE"": 3, ""CAPULET"": 4}"
CAPULET,True,50,2137,42.74,"{""MONTAGUE"": 3, ""PARIS"": 6, ""SERVANT"": 1, ""ROMEO"": 2, ""TYBALT"": 2, ""JULIET"": 4, ""PETER"": 2, ""FRIAR LAURENCE"": 1, ""NURSE"": 4}","{""PRINCE"": 3, ""ROMEO"": 3, ""SERVANT"": 1, ""BENVOLIO"": 2, ""JULIET"": 1, ""PARIS"": 1}"
MERCUTIO,True,62,2089,33.69,"{""ROMEO"": 9, ""CUPID"": 1, ""VENUS"": 1, ""ROSALINE"": 2, ""TYBALT"": 2, ""PRINCE"": 1, ""JESU"": 1, ""BENVOLIO"": 2, ""PETER"": 1, ""JACK"": 1, ""PAGE"": 1}","{""ROMEO"": 10, ""BENVOLIO"": 6, ""TYBALT"": 1, ""FIRST CITIZEN"": 1, ""PRINCE"": 1, ""MONTAGUE"": 1}"
BENVOLIO,True,64,1157,18.08,"{""TYBALT"": 12, ""PRINCE"": 3, ""ROMEO"": 16, ""CAPULET"": 2, ""ROSALINE"": 1, ""MERCUTIO"": 6}","{""TYBALT"": 1, ""MERCUTIO"": 2, ""ROMEO"": 2, ""PRINCE"": 1}"
LADY CAPULET,True,45,872,19.38,"{""NURSE"": 2, ""JULIET"": 4, ""PARIS"": 5, ""TYBALT"": 3, ""PRINCE"": 3, ""MONTAGUE"": 2, ""ROMEO"": 4, ""PETER"": 1}",{}
PRINCE,True,16,585,36.56,"{""CAPULET"": 3, ""MONTAGUE"": 4, ""BENVOLIO"": 1, ""ROMEO"": 4, ""MERCUTIO"": 1, ""PAGE"": 1, ""JULIET"": 2}","{""BENVOLIO"": 3, ""MERCUTIO"": 1, ""ROMEO"": 5, ""LADY CAPULET"": 3, ""MONTAGUE"": 1, ""FRIAR LAURENCE"": 3, ""FIRST WATCHMAN"": 2}"
PARIS,True,23,545,23.7,"{""CAPULET"": 1, ""TYBALT"": 1, ""VENUS"": 1, ""JULIET"": 2, ""PAGE"": 1, ""MONTAGUE"": 2}","{""CAPULET"": 6, ""LADY CAPULET"": 5, ""NURSE"": 4, ""JULIET"": 2, ""FRIAR LAURENCE"": 7, ""ROMEO"": 3, ""FIRST WATCHMAN"": 1}"
