Name,Is_Speaker,Total_Turns,Total_Words,Avg_Words_Per_Turn,Mentions_Out_Dict,Mentions_In_Dict
ROMEO,True,163,4727,29.0,"{""TUT"": 1, ""CUPID"": 1, ""MERCUTIO"": 8, ""CAPULET"": 3, ""ROSALINE"": 3, ""TYBALT"": 10, ""JULIET"": 18, ""LAURENCE"": 1, ""BENVOLIO"": 2, ""BALTHASAR"": 1, ""PARIS"": 1}","{""LADY MONTAGUE"": 1, ""BENVOLIO"": 14, ""MERCUTIO"": 8, ""CAPULET"": 2, ""TYBALT"": 2, ""NURSE"": 17, ""CHORUS"": 1, ""JULIET"": 41, ""FRIAR LAURENCE"": 19, ""LADY CAPULET"": 4, ""PRINCE"": 4, ""MONTAGUE"": 1, ""BALTHASAR"": 1, ""SECOND WATCHMAN"": 1, ""FIRST WATCHMAN"": 2}"
JULIET,True,118,4297,36.42,"{""ROMEO"": 41, ""CAPULET"": 1, ""MONTAGUE"": 5, ""GOD"": 3, ""TYBALT"": 14, ""HIE"": 1, ""PETER"": 1, ""LAURENCE"": 3}","{""NURSE"": 4, ""LADY CAPULET"": 4, ""ROMEO"": 18, ""CHORUS"": 1, ""FRIAR LAURENCE"": 7, ""CAPULET"": 4, ""PARIS"": 2, ""FIRST WATCHMAN"": 2, ""BALTHASAR"": 1, ""PRINCE"": 2, ""MONTAGUE"": 1}"
FRIAR LAURENCE,True,55,2734,49.71,"{""ROMEO"": 19, ""ROSALINE"": 4, ""TYBALT"": 5, ""FIE"": 1, ""JULIET"": 7, ""PARIS"": 2, ""CAPULETS"": 1, ""JOHN"": 3, ""CAPEL"": 1, ""ALACK"": 1}","{""FIRST WATCHMAN"": 1}"
NURSE,True,90,2211,24.57,"{""GOD"": 5, ""JULIET"": 4, ""MARRY"": 4, ""ROMEO"": 17, ""MONTAGUE"": 1, ""ANON"": 1, ""PETER"": 5, ""FIE"": 1, ""JESU"": 1, ""LAURENCE"": 2, ""ALACK"": 1, ""TYBALT"": 6, ""HIE"": 1}",{}
CAPULET,True,50,2137,42.74,"{""MONTAGUE"": 3, ""ROMEO"": 2, ""TYBALT"": 2, ""PARIS"": 3, ""JULIET"": 4, ""SIRRAH"": 2, ""PETER"": 1}","{""PRINCE"": 3, ""ROMEO"": 3, ""SERVANT"": 1, ""BENVOLIO"": 2, ""JULIET"": 1, ""PARIS"": 1}"
MERCUTIO,True,62,2099,33.85,"{""ROMEO"": 8, ""CUPID"": 1, ""VENUS"": 1, ""ROSALINE"": 2, ""TYBALT"": 2, ""JESU"": 1, ""BENVOLIO"": 2, ""PETER"": 1, ""JACK"": 1}","{""ROMEO"": 8, ""BENVOLIO"": 6, ""TYBALT"": 1, ""FIRST CITIZEN"": 1, ""PRINCE"": 1, ""MONTAGUE"": 1}"
BENVOLIO,True,64,1157,18.08,"{""TYBALT"": 12, ""ROMEO"": 14, ""CAPULET"": 2, ""ROSALINE"": 1, ""TUT"": 1, ""MERCUTIO"": 6}","{""TYBALT"": 1, ""MERCUTIO"": 2, ""ROMEO"": 2, ""PRINCE"": 1}"
LADY CAPULET,True,45,872,19.38,"{""JULIET"": 4, ""PARIS"": 1, ""TYBALT"": 3, ""MONTAGUE"": 2, ""ROMEO"": 4, ""FIE"": 2}",{}
PRINCE,True,16,585,36.56,"{""CAPULET"": 3, ""MONTAGUE"": 4, ""BENVOLIO"": 1, ""ROMEO"": 4, ""MERCUTIO"": 1, ""SIRRAH"": 1, ""JULIET"": 2}",{}
PARIS,True,23,545,23.7,"{""CAPULET"": 1, ""TYBALT"": 1, ""VENUS"": 1, ""JULIET"": 2, ""MONTAGUE"": 2}","{""LADY CAPULET"": 1, ""CAPULET"": 3, ""FRIAR LAURENCE"": 2, ""ROMEO"": 1}"
MONTAGUE,True,10,316,31.6,"{""ROMEO"": 1, ""MERCUTIO"": 1, ""TYBALT"": 1, ""JULIET"": 1}","{""SAMPSON"": 3, ""CAPULET"": 3, ""PRINCE"": 4, ""TYBALT"": 2, ""NURSE"": 1, ""JULIET"": 5, ""LADY CAPULET"": 2, ""PARIS"": 2}"
TYBALT,True,17,265,15.59,"{""BENVOLIO"": 1, ""MONTAGUES"": 1, ""MONTAGUE"": 2, ""ROMEO"": 2, ""MERCUTIO"": 1}","{""BENVOLIO"": 12, ""ROMEO"": 10, ""MERCUTIO"": 2, ""FIRST CITIZEN"": 1, ""LADY CAPULET"": 3, ""MONTAGUE"": 1, ""NURSE"": 6, ""JULIET"": 14, ""FRIAR LAURENCE"": 5, ""CAPULET"": 2, ""PARIS"": 1}"
